dict_values(['27779\n', '歌者🌸孙筠雅', '16', '20', '25698\n', '北京 朝阳', 'http://www.huajiao.com/user/71454567', '花椒号：71454567', 'http://www.huajiao.com/l/197045045', '4481万\n', '79万\n'])
dict_values(['2674\n', '惠公举☀', '15', '13', '1694\n', '湖南 长沙', 'http://www.huajiao.com/user/99935230', '花椒号：99935230', 'http://www.huajiao.com/l/197043265', '254万\n', '72万\n'])
dict_values(['31313\n', '\ue11d大黑牛灬', '14', '14', '1866\n', '河南 洛阳', 'http://www.huajiao.com/user/110096252', '花椒号：110096252', 'http://www.huajiao.com/l/197043675', '14356万\n', '28万\n'])
dict_values(['17万\n', '🍀妮儿Nierrr🍀', '21', '25', '78162\n', '湖南省 长沙市', 'http://www.huajiao.com/user/68256113', '花椒号：68256113', 'http://www.huajiao.com/l/197044544', '3068万\n', '1986万\n'])
dict_values(['42431\n', '若雨儿💕', '20', '28', '16万\n', '江苏 苏州', 'http://www.huajiao.com/user/60134064', '花椒号：60134064', 'http://www.huajiao.com/l/197052536', '5055万\n', '1019万\n'])
dict_values(['68842\n', '蜜兒 姐姐.ღ💕', '19', '25', '12万\n', '重庆 铜梁', 'http://www.huajiao.com/user/129845122', '花椒号：129845122', 'http://www.huajiao.com/l/197056556', '2282万\n', '380万\n'])
dict_values(['18285\n', '呗呗小妹', '19', '19', '13019\n', '湖南 怀化', 'http://www.huajiao.com/user/77121125', '花椒号：77121125', 'http://www.huajiao.com/l/197053138', '3083万\n', '42万\n'])
dict_values(['12643\n', '小竹妹子.', '12', '12', '1110\n', '辽宁 鞍山', 'http://www.huajiao.com/user/126628139', '花椒号：126628139', 'http://www.huajiao.com/l/197045600', '1847万\n', '20万\n'])
dict_values(['35919\n', '萱萱大可爱🌸', '16', '17', '11868\n', '未知星球', 'http://www.huajiao.com/user/75207716', '花椒号：75207716', 'http://www.huajiao.com/l/197055526', '2226万\n', '100万\n'])
dict_values(['52638\n', '梁油儿', '9', '9', '1035\n', '广西壮族自治区 南宁市', 'http://www.huajiao.com/user/145176032', '花椒号：145176032', 'http://www.huajiao.com/l/197053279', '203万\n', '34467\n'])
dict_values(['56521\n', '『西西』', '20', '20', '14838\n', '上海 嘉定', 'http://www.huajiao.com/user/101441872', '花椒号：101441872', 'http://www.huajiao.com/l/197049748', '3711万\n', '629万\n'])
dict_values(['35788\n', '歌手 小冰心', '22', '29', '17万\n', '云南 西双版纳', 'http://www.huajiao.com/user/58427316', '花椒号：58427316', 'http://www.huajiao.com/l/197056008', '4440万\n', '853万\n'])
dict_values(['3770\n', '琵琶👑芮熙', '17', '23', '50126\n', '未知星球', 'http://www.huajiao.com/user/106560954', '花椒号：106560954', 'http://www.huajiao.com/l/197054450', '798万\n', '86万\n'])
dict_values(['57040\n', '我是Naomi😘幂幂', '17', '21', '22109\n', '未知星球', 'http://www.huajiao.com/user/119461435', '花椒号：119461435', 'http://www.huajiao.com/l/197056222', '4500万\n', '185万\n'])
dict_values(['9259\n', '叶靖宇👣', '21', '26', '14万\n', '广西 南宁', 'http://www.huajiao.com/user/95518738', '花椒号：95518738', 'http://www.huajiao.com/l/197041481', '1361万\n', '391万\n'])
dict_values(['14万\n', '佳雨💃热舞', '20', '31', '43万\n', '黑龙江 牡丹江', 'http://www.huajiao.com/user/75567131', '花椒号：75567131', 'http://www.huajiao.com/l/197056393', '6476万\n', '972万\n'])
dict_values(['26万\n', '吃货安琪拉👑', '20', '33', '55万\n', '上海 静安', 'http://www.huajiao.com/user/56115544', '花椒号：56115544', 'http://www.huajiao.com/l/197050936', '11937万\n', '1398万\n'])
dict_values(['6600\n', '⚜️珂。', '15', '22', '20349\n', '天津 和平', 'http://www.huajiao.com/user/114174609', '花椒号：114174609', 'http://www.huajiao.com/l/197048758', '8787万\n', '113万\n'])
dict_values(['7176\n', '颖姐段子坊', '17', '27', '13万\n', '甘肃 平凉', 'http://www.huajiao.com/user/36353443', '花椒号：36353443', 'http://www.huajiao.com/l/197037234', '4046万\n', '232万\n'])
dict_values(['9554\n', '大叔户外打野', '18', '23', '28713\n', '湖北 鄂州', 'http://www.huajiao.com/user/115033536', '花椒号：115033536', 'http://www.huajiao.com/l/197054146', '5574万\n', '88万\n'])
dict_values(['79870\n', '💭林夕萌viviyabi❁҉҉҉҉҉', '19', '24', '46133\n', '江西省 萍乡市', 'http://www.huajiao.com/user/73730088', '花椒号：73730088', 'http://www.huajiao.com/l/197051366', '3020万\n', '304万\n'])
dict_values(['88618\n', '雨轩Sir 💋', '21', '27', '12万\n', '吉林 长春', 'http://www.huajiao.com/user/92017888', '花椒号：92017888', 'http://www.huajiao.com/l/197037987', '7195万\n', '364万\n'])
dict_values(['2742\n', 'CY才艺多多，王者荣耀主播！', '15', '20', '5839\n', '江西 赣州', 'http://www.huajiao.com/user/115479314', '花椒号：115479314', 'http://www.huajiao.com/l/197032073', '1282万\n', '42万\n'])
dict_values(['4867\n', '馨灵驿站', '15', '18', '11156\n', '湖北 孝感', 'http://www.huajiao.com/user/33269964', '花椒号：33269964', 'http://www.huajiao.com/l/197023472', '7609万\n', '36万\n'])
dict_values(['3126\n', 'YT-疯子', '游戏直播', '5', '0\n', '浙江 绍兴', 'http://www.huajiao.com/user/142233740', '花椒号：142233740', 'http://www.huajiao.com/l/197017808', '10052万\n', '14万\n'])
dict_values(['34020\n', '兮瓜╰つ', '21', '24', '92992\n', '长春市', 'http://www.huajiao.com/user/93624410', '花椒号：93624410', 'http://www.huajiao.com/l/197037469', '3722万\n', '392万\n'])
dict_values(['11万\n', '💓兮儿宝宝💓', '21', '30', '29万\n', '河北 唐山', 'http://www.huajiao.com/user/32999448', '花椒号：32999448', 'http://www.huajiao.com/l/197043404', '1832万\n', '1795万\n'])
dict_values(['98355\n', '恋恋女人 香', '21', '27', '14万\n', '未知星球', 'http://www.huajiao.com/user/81616728', '花椒号：81616728', 'http://www.huajiao.com/l/197052932', '4856万\n', '837万\n'])
dict_values(['4150\n', '双籽999', '9', '11', '542\n', '福建 福州', 'http://www.huajiao.com/user/65457427', '花椒号：65457427', 'http://www.huajiao.com/l/197043233', '940万\n', '18万\n'])
dict_values(['8828\n', '般若慧照', '18', '24', '61827\n', '上海 黄浦', 'http://www.huajiao.com/user/72536290', '花椒号：72536290', 'http://www.huajiao.com/l/197031530', '13172万\n', '36万\n'])
dict_values(['567\n', '音乐人🎤张碧茜', '4', '7', '316\n', '海南省 海口市', 'http://www.huajiao.com/user/148993064', '花椒号：148993064', 'http://www.huajiao.com/l/197050825', '215万\n', '13万\n'])
dict_values(['7399\n', '王心可', '12', '11', '291\n', '北京市 房山区', 'http://www.huajiao.com/user/130298684', '花椒号：130298684', 'http://www.huajiao.com/l/197050847', '568万\n', '11万\n'])
dict_values(['809\n', '弹唱女歌手🎸⚽童年时光🎂', '9', '10', '427\n', '辽宁 葫芦岛', 'http://www.huajiao.com/user/131060329', '花椒号：131060329', 'http://www.huajiao.com/l/197035915', '1221万\n', '32567\n'])
dict_values(['52243\n', '关注靖老师呀1月26生日', '18', '16', '6315\n', '未知星球', 'http://www.huajiao.com/user/27232087', '花椒号：27232087', 'http://www.huajiao.com/l/197044000', '2809万\n', '104万\n'])
dict_values(['1012\n', '小y仙女', '16', '13', '3311\n', '吉林 长春', 'http://www.huajiao.com/user/56459780', '花椒号：56459780', 'http://www.huajiao.com/l/197043283', '238万\n', '55万\n'])
dict_values(['3140\n', '一浪少数民族奇遇记', '16', '13', '170\n', '广西 玉林', 'http://www.huajiao.com/user/112697530', '花椒号：112697530', 'http://www.huajiao.com/l/197047529', '7759万\n', '73536\n'])
