dict_keys(['gift_r', 'live_url', 'addr', 'gift_o', 'follow', 'live', 'id', 'like', 'name', 'self', 'user_url'])
dict_values(['418万\n', 'http://www.huajiao.com/l/197047241', '广东 中山', '34308\n', '66653\n', '23', '花椒号：53499045', '1428万\n', '小雪_❄', '21', 'http://www.huajiao.com/user/53499045'])
dict_values(['92万\n', 'http://www.huajiao.com/l/197048303', '四川省 达州市', '6255\n', '5308\n', '15', '花椒号：128657540', '1711万\n', '古筝🌟小媛', '14', 'http://www.huajiao.com/user/128657540'])
dict_values(['136万\n', 'http://www.huajiao.com/l/197054293', '山东 济南', '29409\n', '52338\n', '21', '花椒号：60086119', '4579万\n', '天际 舞媚娘', '17', 'http://www.huajiao.com/user/60086119'])
dict_values(['2103万\n', 'http://www.huajiao.com/l/197044966', '新疆 克拉玛依', '36万\n', '91994\n', '30', '花椒号：26041554', '12735万\n', '若邑', '19', 'http://www.huajiao.com/user/26041554'])
dict_values(['531万\n', 'http://www.huajiao.com/l/197057655', '浙江 金华', '36929\n', '31984\n', '22', '花椒号：112318012', '2374万\n', '江昕彧', '22', 'http://www.huajiao.com/user/112318012'])
dict_values(['201万\n', 'http://www.huajiao.com/l/197046429', '湖南 长沙', '64713\n', '10460\n', '24', '花椒号：56421677', '2867万\n', '🎤ゞ情歌皇后 ✿琴儿﹏✎', '17', 'http://www.huajiao.com/user/56421677'])
dict_values(['188万\n', 'http://www.huajiao.com/l/197045006', '内蒙古自治区 巴彦淖尔市', '6932\n', '21543\n', '15', '花椒号：113271860', '817万\n', '小金豆儿🔅', '20', 'http://www.huajiao.com/user/113271860'])
dict_values(['20万\n', 'http://www.huajiao.com/l/197045600', '辽宁 鞍山', '1110\n', '12647\n', '12', '花椒号：126628139', '1861万\n', '小竹妹子.', '12', 'http://www.huajiao.com/user/126628139'])
dict_values(['259万\n', 'http://www.huajiao.com/l/197056161', '北京 顺义', '20303\n', '24859\n', '19', '花椒号：102363076', '647万\n', '🌹花倩儿', '17', 'http://www.huajiao.com/user/102363076'])
dict_values(['91万\n', 'http://www.huajiao.com/l/197046179', '北京 朝阳', '7760\n', '5625\n', '15', '花椒号：104750604', '894万\n', '萧晗。', '19', 'http://www.huajiao.com/user/104750604'])
dict_values(['1598万\n', 'http://www.huajiao.com/l/197053558', '美国 洛杉矶', '31万\n', '20万\n', '30', '花椒号：71107802', '5397万\n', 'Chloe尹\U0001f5a4', '24', 'http://www.huajiao.com/user/71107802'])
dict_values(['540万\n', 'http://www.huajiao.com/l/197044498', '辽宁 沈阳', '25万\n', '51364\n', '29', '花椒号：23801911', '6885万\n', '⚜️🔮艺涵🔮⚜️', '23', 'http://www.huajiao.com/user/23801911'])
dict_values(['86万\n', 'http://www.huajiao.com/l/197054450', '未知星球', '50126\n', '3774\n', '23', '花椒号：106560954', '800万\n', '琵琶👑芮熙', '17', 'http://www.huajiao.com/user/106560954'])
