dict_keys(['name', 'gift_o', 'like', 'follow', 'gift_r', 'live_url', 'addr', 'id', 'user_url', 'self', 'live'])
dict_values(['～阿婷', '69524\n', '9536万\n', '11万\n', '528万\n', 'http://www.huajiao.com/l/197048958', '安徽 淮北', '花椒号：80092447', 'http://www.huajiao.com/user/80092447', '22', '23'])
dict_values(['若雨儿💕', '16万\n', '5063万\n', '42448\n', '1020万\n', 'http://www.huajiao.com/l/197052536', '江苏 苏州', '花椒号：60134064', 'http://www.huajiao.com/user/60134064', '20', '28'])
dict_values([None, '95652\n', '4141万\n', '90094\n', '444万\n', 'http://www.huajiao.com/l/197046916', '河北 唐山', '花椒号：25301956', 'http://www.huajiao.com/user/25301956', '18', '25'])
dict_values(['莫里里性感热舞！', '8471\n', '2597万\n', '26690\n', '63万\n', 'http://www.huajiao.com/l/197049827', '北京 朝阳', '花椒号：21343184', 'http://www.huajiao.com/user/21343184', '9', '15'])
dict_values(['心语软软', '11万\n', '4403万\n', '14万\n', '932万\n', 'http://www.huajiao.com/l/197046321', '未知星球', '花椒号：107745017', 'http://www.huajiao.com/user/107745017', '20', '25'])
dict_values(['小章子仪', '47万\n', '4682万\n', '94187\n', '2586万\n', 'http://www.huajiao.com/l/197049194', '广西 南宁 南宁', '花椒号：24929231', 'http://www.huajiao.com/user/24929231', '21', '33'])
dict_values(['薇薇心理～vivian', '41万\n', '3168万\n', '38940\n', '244万\n', 'http://www.huajiao.com/l/197059400', '北京 朝阳', '花椒号：90254251', 'http://www.huajiao.com/user/90254251', '21', '31'])
dict_values(['YT-璀璨', '5624\n', '1794万\n', '1395\n', '30万\n', 'http://www.huajiao.com/l/197056471', '未知星球', '花椒号：120298992', 'http://www.huajiao.com/user/120298992', '17', '18'])
dict_values(['小萌💗桃子', '61361\n', '1008万\n', '16841\n', '55万\n', 'http://www.huajiao.com/l/197059151', '河北省 唐山市', '花椒号：53844984', 'http://www.huajiao.com/user/53844984', '15', '24'])
dict_values(['梁油儿', '1035\n', '212万\n', '52639\n', '34467\n', 'http://www.huajiao.com/l/197053279', '广西壮族自治区 南宁市', '花椒号：145176032', 'http://www.huajiao.com/user/145176032', '9', '9'])
dict_values(['萌仙儿同学', '577\n', '1236万\n', '1393\n', '12万\n', 'http://www.huajiao.com/l/197053091', '陕西 西安', '花椒号：150854703', 'http://www.huajiao.com/user/150854703', '6', '9'])
dict_values(['👓软萌咩咩', '9377\n', '1181万\n', '6634\n', '44万\n', 'http://www.huajiao.com/l/197041272', '四川省 绵阳市', '花椒号：140600694', 'http://www.huajiao.com/user/140600694', '10', '15'])
