dict_keys(['user_url', 'self', 'follow', 'live', 'id', 'gift_r', 'live_url', 'gift_o', 'like', 'addr', 'name'])
dict_values(['http://www.huajiao.com/user/80092447', '22', '11万\n', '23', '花椒号：80092447', '528万\n', 'http://www.huajiao.com/l/197048958', '69524\n', '9538万\n', '安徽 淮北', '～阿婷'])
dict_values(['http://www.huajiao.com/user/60134064', '20', '42448\n', '28', '花椒号：60134064', '1020万\n', 'http://www.huajiao.com/l/197052536', '16万\n', '5064万\n', '江苏 苏州', '若雨儿💕'])
dict_values(['http://www.huajiao.com/user/25301956', '18', '90094\n', '25', '花椒号：25301956', '444万\n', 'http://www.huajiao.com/l/197046916', '95652\n', '4141万\n', '河北 唐山', None])
dict_values(['http://www.huajiao.com/user/21343184', '9', '26694\n', '15', '花椒号：21343184', '63万\n', 'http://www.huajiao.com/l/197049827', '8471\n', '2598万\n', '北京 朝阳', '莫里里性感热舞！'])
dict_values(['http://www.huajiao.com/user/107745017', '20', '14万\n', '25', '花椒号：107745017', '932万\n', 'http://www.huajiao.com/l/197046321', '11万\n', '4403万\n', '未知星球', '心语软软'])
dict_values(['http://www.huajiao.com/user/24929231', '21', '94187\n', '33', '花椒号：24929231', '2586万\n', 'http://www.huajiao.com/l/197049194', '47万\n', '4682万\n', '广西 南宁 南宁', '小章子仪'])
dict_values(['http://www.huajiao.com/user/90254251', '21', '38940\n', '31', '花椒号：90254251', '244万\n', 'http://www.huajiao.com/l/197059400', '41万\n', '3168万\n', '北京 朝阳', '薇薇心理～vivian'])
dict_values(['http://www.huajiao.com/user/120298992', '17', '1395\n', '18', '花椒号：120298992', '30万\n', 'http://www.huajiao.com/l/197056471', '5624\n', '1794万\n', '未知星球', 'YT-璀璨'])
dict_values(['http://www.huajiao.com/user/53844984', '15', '16841\n', '24', '花椒号：53844984', '55万\n', 'http://www.huajiao.com/l/197059151', '61361\n', '1008万\n', '河北省 唐山市', '小萌💗桃子'])
dict_values(['http://www.huajiao.com/user/145176032', '9', '52639\n', '9', '花椒号：145176032', '34467\n', 'http://www.huajiao.com/l/197053279', '1035\n', '212万\n', '广西壮族自治区 南宁市', '梁油儿'])
dict_values(['http://www.huajiao.com/user/150854703', '6', '1393\n', '9', '花椒号：150854703', '12万\n', 'http://www.huajiao.com/l/197053091', '577\n', '1236万\n', '陕西 西安', '萌仙儿同学'])
dict_values(['http://www.huajiao.com/user/140600694', '10', '6634\n', '15', '花椒号：140600694', '44万\n', 'http://www.huajiao.com/l/197041272', '9377\n', '1181万\n', '四川省 绵阳市', '👓软萌咩咩'])
dict_values(['http://www.huajiao.com/user/68178137', '11', '84101\n', '13', '花椒号：68178137', '86万\n', 'http://www.huajiao.com/l/197058863', '5219\n', '198万\n', '北京 朝阳', '小耳朵儿 平平🍭'])
dict_values(['http://www.huajiao.com/user/54071255', '18', '38159\n', '24', '花椒号：54071255', '1184万\n', 'http://www.huajiao.com/l/197043216', '51099\n', '2446万\n', '山东 济宁', "小凡'"])
dict_values(['http://www.huajiao.com/user/98907823', '20', '71574\n', '25', '花椒号：98907823', '1018万\n', 'http://www.huajiao.com/l/197059252', '10万\n', '6375万\n', '浙江 温州', '心灵歌者二萌'])
dict_values(['http://www.huajiao.com/user/92017888', '21', '88620\n', '27', '花椒号：92017888', '364万\n', 'http://www.huajiao.com/l/197037987', '12万\n', '7217万\n', '吉林 长春', '雨轩Sir 💋'])
dict_values(['http://www.huajiao.com/user/126720278', '16', '37254\n', '21', '花椒号：126720278', '202万\n', 'http://www.huajiao.com/l/197033192', '27187\n', '7724万\n', '重庆市 沙坪坝区', '大奕儿'])
dict_values(['http://www.huajiao.com/user/75207716', '16', '35953\n', '17', '花椒号：75207716', '100万\n', 'http://www.huajiao.com/l/197055526', '11868\n', '2230万\n', '未知星球', '萱萱大可爱🌸'])
dict_values(['http://www.huajiao.com/user/129845122', '19', '68869\n', '25', '花椒号：129845122', '382万\n', 'http://www.huajiao.com/l/197056556', '12万\n', '2285万\n', '重庆 铜梁', '蜜兒 姐姐.ღ💕'])
dict_values(['http://www.huajiao.com/user/21263858', '21', '49万\n', '26', '花椒号：21263858', '1502万\n', 'http://www.huajiao.com/l/197040169', '10万\n', '8158万\n', '浙江 宁波', '檀月💃紫紫'])
dict_values(['http://www.huajiao.com/user/103289124', '颜值', '110\n', '1', '花椒号：103289124', '4548\n', 'http://www.huajiao.com/l/197056776', '0\n', '63万\n', '江苏省 无锡市', '新人十二前来报道'])
dict_values(['http://www.huajiao.com/user/58427316', '22', '35800\n', '29', '花椒号：58427316', '853万\n', 'http://www.huajiao.com/l/197056008', '17万\n', '4444万\n', '云南 西双版纳', '歌手 小冰心'])
dict_values(['http://www.huajiao.com/user/22690736', '20', '20万\n', '22', '花椒号：22690736', '1280万\n', 'http://www.huajiao.com/l/197044557', '46216\n', '9898万\n', '山东 青岛', '🔥🔥小迷妹🔥🔥'])
dict_values(['http://www.huajiao.com/user/20111016', '7', '559\n', '8', '花椒号：20111016', '886\n', 'http://www.huajiao.com/l/197057040', '0\n', '90万\n', '未知星球', '露两手 jiayuanART'])
dict_values(['http://www.huajiao.com/user/56115544', '20', '26万\n', '33', '花椒号：56115544', '1399万\n', 'http://www.huajiao.com/l/197050936', '55万\n', '11947万\n', '上海 静安', '吃货安琪拉👑'])
dict_values(['http://www.huajiao.com/user/33199544', '19', '7793\n', '23', '花椒号：33199544', '139万\n', 'http://www.huajiao.com/l/197057090', '43916\n', '1869万\n', '辽宁 鞍山', '王深VIP'])
dict_values(['http://www.huajiao.com/user/34905665', '49', '13万\n', '30', '花椒号：34905665', '2818万\n', 'http://www.huajiao.com/l/197046829', '28万\n', '5986万\n', '吉林省 通化市', '佬鐵'])
dict_values(['http://www.huajiao.com/user/60086119', '17', '52355\n', '21', '花椒号：60086119', '137万\n', 'http://www.huajiao.com/l/197054293', '29409\n', '4581万\n', '山东 济南', '天际 舞媚娘'])
dict_values(['http://www.huajiao.com/user/152704831', '艺术', '2038\n', '5', '花椒号：152704831', '77963\n', 'http://www.huajiao.com/l/197051097', '0\n', '1635万\n', '山西省 太原市', '沙画师阿周周'])
dict_values(['http://www.huajiao.com/user/102363076', '17', '24869\n', '19', '花椒号：102363076', '259万\n', 'http://www.huajiao.com/l/197056161', '20303\n', '648万\n', '北京 顺义', '🌹花倩儿'])
dict_values(['http://www.huajiao.com/user/131060329', '9', '816\n', '10', '花椒号：131060329', '32785\n', 'http://www.huajiao.com/l/197035915', '427\n', '1254万\n', '辽宁 葫芦岛', '弹唱女歌手🎸⚽童年时光🎂'])
dict_values(['http://www.huajiao.com/user/150718984', '11', '1143\n', '14', '花椒号：150718984', '25万\n', 'http://www.huajiao.com/l/197051418', '4316\n', '1144万\n', '上海市 普陀区', '狗蛋😄😄😄😄😄😄'])
dict_values(['http://www.huajiao.com/user/149567469', '14', '6460\n', '16', '花椒号：149567469', '29万\n', 'http://www.huajiao.com/l/197039976', '9565\n', '19029万\n', '江苏 南通', '🃏王大腿💜保护我方阿薇💕'])
dict_values(['http://www.huajiao.com/user/27232087', '18', '52265\n', '16', '花椒号：27232087', '104万\n', 'http://www.huajiao.com/l/197044000', '6315\n', '2829万\n', '未知星球', '关注靖老师呀1月26生日'])
dict_values(['http://www.huajiao.com/user/135124542', '16', '1294\n', '14', '花椒号：135124542', '125万\n', 'http://www.huajiao.com/l/197042068', '3029\n', '316万\n', '安徽 合肥', '因为我叫王朵朵☀'])
dict_values(['http://www.huajiao.com/user/129824834', '15', '12万\n', '18', '花椒号：129824834', '134万\n', 'http://www.huajiao.com/l/197034507', '10448\n', '5317万\n', '广州 白云', '🍥🍥一只小茉莉呀🌸'])
dict_values(['http://www.huajiao.com/user/150613403', '颜值', '604\n', '5', '花椒号：150613403', '4396\n', 'http://www.huajiao.com/l/197059527', '0\n', '15万\n', '福建 厦门', None])
dict_values(['http://www.huajiao.com/user/134663558', '9', '818\n', '10', '花椒号：134663558', '13万\n', 'http://www.huajiao.com/l/197051175', '711\n', '462万\n', '辽宁省 沈阳市', '歌者__鬼鬼💃🏻💃🏻🎤🎤'])
dict_values(['http://www.huajiao.com/user/90280958', '18', '29163\n', '18', '花椒号：90280958', '158万\n', 'http://www.huajiao.com/l/197043361', '8791\n', '1957万\n', '上海 静安', '性感热舞小果果👑'])
dict_values(['http://www.huajiao.com/user/56459780', '16', '1015\n', '13', '花椒号：56459780', '55万\n', 'http://www.huajiao.com/l/197043283', '3311\n', '264万\n', '吉林 长春', '小y仙女'])
dict_values(['http://www.huajiao.com/user/131060329', '9', '816\n', '10', '花椒号：131060329', '32785\n', 'http://www.huajiao.com/l/197035915', '427\n', '1256万\n', '辽宁 葫芦岛', '弹唱女歌手🎸⚽童年时光🎂'])
dict_values(['http://www.huajiao.com/user/99806433', '颜值', '419\n', '5', '花椒号：99806433', '6601\n', 'http://www.huajiao.com/l/197048659', '0\n', '24万\n', '北京市 朝阳区', 'NovemBox'])
dict_values(['http://www.huajiao.com/user/146728744', '10', '635\n', '16', '花椒号：146728744', '24492\n', 'http://www.huajiao.com/l/197045267', '10930\n', '67万\n', '北京 通州', '💎都市小可乐'])
dict_values(['http://www.huajiao.com/user/141460336', '7', '352\n', '9', '花椒号：141460336', '8606\n', 'http://www.huajiao.com/l/197051459', '1009\n', '111万\n', '河南 郑州', '叮叮当girl'])
dict_values(['http://www.huajiao.com/user/143360200', '3', '455\n', '8', '花椒号：143360200', '8364\n', 'http://www.huajiao.com/l/197047998', '453\n', '82万\n', '辽宁 大连', '﹊ゞ雅薇。'])
dict_values(['http://www.huajiao.com/user/145103185', '7', '525\n', '12', '花椒号：145103185', '9708\n', 'http://www.huajiao.com/l/197051535', '2396\n', '53万\n', '未知星球', '不是鳌拜的敖'])
dict_values(['http://www.huajiao.com/user/52803013', '颜值', '531\n', '6', '花椒号：52803013', '13485\n', 'http://www.huajiao.com/l/197051143', '0\n', '238万\n', '辽宁 沈阳', '主持人乔维'])
dict_values(['http://www.huajiao.com/user/152040825', '7', '774\n', '8', '花椒号：152040825', '25283\n', 'http://www.huajiao.com/l/197042270', '236\n', '279万\n', '河南省 郑州市', '文软软♡'])
